label	content
0	say annie list political group support third trimester abortion demand
1	hillary clinton agrees john mccain voting give george bush benefit doubt iran
0	health care reform legislation likely mandate free sex change surgery
1	chicago bear starting quarterback last year total number tenured uw faculty fired last two decade
1	say gop primary opponent glenn grothman joe leibham cast compromise vote cost million higher electricity cost
1	first time history share national popular vote margin smaller latino vote margin
0	mitt romney governor massachusetts didnt slow rate growth government actually cut
1	economy led billion due government shutdown
1	mccain opposed requirement government buy american made motorcycle said buy american provision quote disgraceful
1	almost people left puerto rico last year
0	woman men making le adjust inflation john kitzhaber first elected governor
1	united state highest corporate tax rate free world
1	best year auto industry america history
0	
1	hate crime american muslim mosque tripled paris san bernardino
0	isi supporter tweeted shooting began chattanooga ten
1	youth unemployment minority community percent
1	say paul ryan still endorsing trump
0	obama administration going come next several month youre even going able burn coal limited existing plant
1	cut business tax today percent business dont pay business tax
1	say mark prior vote obama percent time
1	federal government think authority regulate toilet seat
1	austin city basically doubled size every year since founded
1	nuclear test conducted nation time earth th nuclear test five permanent member security council conducted percent total nuclear test
0	case catastrophic event atlanta area office center disease control prevention self destruct
1	president george bush added trillion debt president obama were added trillion debt
0	say supreme court justice suggested case decided based south african law
0	rep david cicilline responsible federal loan guarantee solyndra failed solar company
0	say ohio budget item later signed law gov john basic requires woman seeking abortion undergo mandatory vaginal probe
0	director homeland security can not use use term terrorist attack instead substitute man made disaster
0	obamacare provide insurance non resident even illegally
0	president barack obama took exactly none deficit reduction commission idea one
0	barack obama hillary clinton changed rule engagement probably cost capt human khan life
1	hillary clinton co sponsored legislation would jail flag burner
0	say terry mcauliffe person invented scheme rent lincoln bedroom
1	created new job cut unemployment rate almost half today new york state private sector job ever history
0	sen obama campaign announced choosing cabinet
1	percent latino texas registered vote percent actually turned
0	percent public high school country offer pe class
1	said republican candidate actually turned around government economy
1	military recruiter harvard elena pagan took position supreme court ruled unanimously wrong
1	public school teacher texas non teacher public school
0	
0	
1	main capital helped start early childhood learning company called bright horizon first lady michelle obama rightly praised
0	say man rushed stage dayton ohio chatter isi isi social medium post
1	take population growth virginia net zero job creation since bob mcdonnell became governor
1	new arizona immigration law say police officer stop anyone appears reasonably suspicious undocumented person
1	time history debt higher end world war ii
1	cost health care single biggest factor driving federal budget deficit
1	recession consumer native perversity begun save saving rate percent
0	whether supreme court nominee forthcoming confirmation hearing
0	say charlie crest support cut medical advantage program
1	say scott brown co sponsored legislation let employer deny woman coverage birth control
0	past year egypt made great stride political democratic reform
0	amount attention paid week chris christie make coverage bengali pale significance
1	say rep steve southland voted keep shutdown going
1	federal criminal law say crime transport venture across state line
1	built new prison every day keep mass incarceration explosion nonviolent offender
0	austin burdened fastest growing tax increase major city nation
0	phoenix arizona kidnapping capital world
1	
1	insurance commissioner cant squat health care
1	know u population growth lowest since great depression
1	average student florida actually pay pocket major university tuition much le spend cellphone
1	since american died gunfire died war country history
1	foreclosure tax would take effect could mean high tax bill facing foreclosure million family modified mortgage short sale lender
0	florida department agriculture website freshfromflorida com used get permit carry loaded hidden gun without ever leaving house
