label	content
0	say annie list political group support third trimester abortion demand
1	decline coal start started natural gas took started begin president george bush administration
1	hillary clinton agrees john mccain voting give george bush benefit doubt iran
0	health care reform legislation likely mandate free sex change surgery
1	economic turnaround started end term
1	chicago bear starting quarterback last year total number tenured uw faculty fired last two decade
0	jim dunam lived district represents year
1	person stage worked actively last year passing along rus feingold toughest ethic reform since watergate
1	however took million oregon lottery fund port newport eventually land new nota marine operation center pacific
1	say gop primary opponent glenn grothman joe leibham cast compromise vote cost million higher electricity cost
1	first time history share national popular vote margin smaller latino vote margin
1	since nearly million american slipped middle class poverty
0	mitt romney governor massachusetts didnt slow rate growth government actually cut
1	economy led billion due government shutdown
0	affordable care act already sense waived otherwise suspended
1	last election november percent american people chose vote percent young people percent low income worker chose vote
1	mccain opposed requirement government buy american made motorcycle said buy american provision quote disgraceful
0	rep ron kind wi fellow democrat went spending spree credit card mixed
1	water rate manila philippine raised percent subsidiary world bank became partial owner
1	almost people left puerto rico last year
0	woman men making le adjust inflation john kitzhaber first elected governor
1	united state highest corporate tax rate free world
1	best year auto industry america history
1	say scott walker favor cutting family child health care
0	say mitt romney want get rid planned parenthood
0	
1	hate crime american muslim mosque tripled paris san bernardino
1	rick perry never lost election remains person texas governorship three time landslide election
0	isi supporter tweeted shooting began chattanooga ten
1	youth unemployment minority community percent
1	say paul ryan still endorsing trump
0	look state right work constantly budget deficit good business climate
0	obama administration going come next several month youre even going able burn coal limited existing plant
1	cut business tax today percent business dont pay business tax
1	say mark prior vote obama percent time
1	federal government think authority regulate toilet seat
1	austin city basically doubled size every year since founded
1	nuclear test conducted nation time earth th nuclear test five permanent member security council conducted percent total nuclear test
0	case catastrophic event atlanta area office center disease control prevention self destruct
1	president george bush added trillion debt president obama were added trillion debt
0	say supreme court justice suggested case decided based south african law
1	say marco rubio skipped defense vote including one arm kur fight isi
0	rep david cicilline responsible federal loan guarantee solyndra failed solar company
0	say ohio budget item later signed law gov john basic requires woman seeking abortion undergo mandatory vaginal probe
0	director homeland security can not use use term terrorist attack instead substitute man made disaster
1	african american youth unemployment percent hispanic youth unemployment percent
0	obamacare provide insurance non resident even illegally
0	president barack obama took exactly none deficit reduction commission idea one
0	barack obama hillary clinton changed rule engagement probably cost capt human khan life
